Coding System,Codes,구분,병명,고려사항 구분,응급등급,고려사항 상세,비고
NACRS,4,심혈관계,흉통 (비심장성),활력징후 1차 고려사항 ,2,"의식변화 (V/P, GCS 9-13)",
NACRS,4,심혈관계,흉통 (비심장성),활력징후 1차 고려사항 ,2,"열, 면역저하 상태",
NACRS,4,심혈관계,흉통 (비심장성),활력징후 1차 고려사항 ,2,패혈증 의증 (3개 이상의 SIRS 기준 만족),
NACRS,4,심혈관계,흉통 (비심장성),활력징후 1차 고려사항 ,3,경증 호흡곤란,
NACRS,4,심혈관계,흉통 (비심장성),활력징후 1차 고려사항 ,3,비정상 맥박수지만 혈역학적으로 안정,
NACRS,4,심혈관계,흉통 (비심장성),활력징후 1차 고려사항 ,3,전신염증반응증후군 (열을 포함한 2개의 SIRS 기준 만족),
NACRS,4,심혈관계,흉통 (비심장성),활력징후 1차 고려사항 ,3,열 (아파 보임),
NACRS,4,심혈관계,흉통 (비심장성),활력징후 1차 고려사항 ,4,열 (건강해 보임),
NACRS,4,심혈관계,흉통 (비심장성),그 밖의 1차 고려사항,2,급성 중심성 중증 통증 (8-10),흉벽의 통증은 말초성 통증임을 유의할 것.
NACRS,4,심혈관계,흉통 (비심장성),그 밖의 1차 고려사항,3,급성 중심성 중등도 통증 (4-7),흉벽의 통증은 말초성 통증임을 유의할 것.
NACRS,4,심혈관계,흉통 (비심장성),그 밖의 1차 고려사항,3,급성 말초성 중증 통증 (8-10),흉벽의 통증은 말초성 통증임을 유의할 것.
NACRS,4,심혈관계,흉통 (비심장성),그 밖의 1차 고려사항,3,만성 중심성 중증 통증 (8-10),흉벽의 통증은 말초성 통증임을 유의할 것.
NACRS,4,심혈관계,흉통 (비심장성),그 밖의 1차 고려사항,4,급성 중심성 경증 통증 (<4),흉벽의 통증은 말초성 통증임을 유의할 것.
NACRS,4,심혈관계,흉통 (비심장성),그 밖의 1차 고려사항,4,급성 말초성 중등도 통증 (4-7),흉벽의 통증은 말초성 통증임을 유의할 것.
NACRS,4,심혈관계,흉통 (비심장성),그 밖의 1차 고려사항,4,만성 중심성 중등도 통증 (4-7),흉벽의 통증은 말초성 통증임을 유의할 것.
NACRS,4,심혈관계,흉통 (비심장성),그 밖의 1차 고려사항,4,만성 말초성 중증 통증 (8-10),흉벽의 통증은 말초성 통증임을 유의할 것.
NACRS,4,심혈관계,흉통 (비심장성),그 밖의 1차 고려사항,5,만성 중심성 경증 통증 (<4),흉벽의 통증은 말초성 통증임을 유의할 것.
NACRS,4,심혈관계,흉통 (비심장성),그 밖의 1차 고려사항,5,급성 말초성 경증 통증 (<4),흉벽의 통증은 말초성 통증임을 유의할 것.
NACRS,4,심혈관계,흉통 (비심장성),그 밖의 1차 고려사항,5,만성 말초성 통증 (<8),흉벽의 통증은 말초성 통증임을 유의할 것.
NACRS,4,심혈관계,흉통 (비심장성),증상별 2차 고려사항,1,활력징후,
NACRS,4,심혈관계,흉통 (비심장성),증상별 2차 고려사항,2,"활력징후, 중심성 통증",흉벽의 통증은 말초성 통증임을 유의할 것.
NACRS,4,심혈관계,흉통 (비심장성),증상별 2차 고려사항,2,"기타 심각한 가슴 통증(잡아 째는, 찢어지는 통증)",흉벽의 통증은 말초성 통증임을 유의할 것.
NACRS,4,심혈관계,흉통 (비심장성),증상별 2차 고려사항,3,"활력징후, 중심성 통증, 말초성 통증, 만성",흉벽의 통증은 말초성 통증임을 유의할 것.
NACRS,4,심혈관계,흉통 (비심장성),증상별 2차 고려사항,4,"활력징후, 중심성 통증, 말초성 통증, 만성",흉벽의 통증은 말초성 통증임을 유의할 것.
NACRS,4,심혈관계,흉통 (비심장성),증상별 2차 고려사항,5,"가슴 통증, 비심장성",흉벽의 통증은 말초성 통증임을 유의할 것.
NACRS,5,심혈관계,심계항진 / 불규칙한 심장박동,활력징후 1차 고려사항 ,1,중증 호흡곤란,
NACRS,5,심혈관계,심계항진 / 불규칙한 심장박동,활력징후 1차 고려사항 ,1,쇼크,
NACRS,5,심혈관계,심계항진 / 불규칙한 심장박동,활력징후 1차 고려사항 ,1,"무의식 (U, GCS 3-8)",
NACRS,5,심혈관계,심계항진 / 불규칙한 심장박동,활력징후 1차 고려사항 ,2,중등도 호흡곤란,
NACRS,5,심혈관계,심계항진 / 불규칙한 심장박동,활력징후 1차 고려사항 ,2,혈역학적 장애,
NACRS,5,심혈관계,심계항진 / 불규칙한 심장박동,활력징후 1차 고려사항 ,2,"의식변화 (V/P, GCS 9-13)",
NACRS,5,심혈관계,심계항진 / 불규칙한 심장박동,활력징후 1차 고려사항 ,2,"열, 면역저하 상태",
NACRS,5,심혈관계,심계항진 / 불규칙한 심장박동,활력징후 1차 고려사항 ,2,패혈증 의증 (3개 이상의 SIRS 기준 만족),
NACRS,5,심혈관계,심계항진 / 불규칙한 심장박동,활력징후 1차 고려사항 ,3,경증 호흡곤란,
NACRS,5,심혈관계,심계항진 / 불규칙한 심장박동,활력징후 1차 고려사항 ,3,비정상 맥박수지만 혈역학적으로 안정,
NACRS,5,심혈관계,심계항진 / 불규칙한 심장박동,활력징후 1차 고려사항 ,3,전신염증반응증후군 (열을 포함한 2개의 SIRS 기준 만족),
NACRS,5,심혈관계,심계항진 / 불규칙한 심장박동,활력징후 1차 고려사항 ,3,열 (아파 보임),
NACRS,5,심혈관계,심계항진 / 불규칙한 심장박동,증상별 2차 고려사항,1,활력징후,
NACRS,5,심혈관계,심계항진 / 불규칙한 심장박동,증상별 2차 고려사항,2,활력징후,
NACRS,5,심혈관계,심계항진 / 불규칙한 심장박동,증상별 2차 고려사항,2,심장성 가슴 통증 ,
NACRS,5,심혈관계,심계항진 / 불규칙한 심장박동,증상별 2차 고려사항,2,치명적일 수 있는 부정맥의 병력이나 기록,
NACRS,5,심혈관계,심계항진 / 불규칙한 심장박동,증상별 2차 고려사항,3,활력징후,
NACRS,5,심혈관계,심계항진 / 불규칙한 심장박동,증상별 2차 고려사항,3,"급성 발병, 지속되는 증상",
NACRS,5,심혈관계,심계항진 / 불규칙한 심장박동,증상별 2차 고려사항,4,"심계항진 병력, 현재는 회복된 상태",
NACRS,6,심혈관계,고혈압,활력징후 1차 고려사항,1,중증 호흡곤란,
NACRS,6,심혈관계,고혈압,활력징후 1차 고려사항,1,쇼크,
NACRS,6,심혈관계,고혈압,활력징후 1차 고려사항,1,"무의식 (U, GCS 3-8)",
NACRS,6,심혈관계,고혈압,활력징후 1차 고려사항,2,중등도 호흡곤란,
NACRS,6,심혈관계,고혈압,활력징후 1차 고려사항,2,혈역학적 장애,
NACRS,6,심혈관계,고혈압,활력징후 1차 고려사항,2,"의식변화 (V/P, GCS 9-13)",
NACRS,6,심혈관계,고혈압,활력징후 1차 고려사항,2,"열, 면역저하 상태",
NACRS,6,심혈관계,고혈압,활력징후 1차 고려사항,2,패혈증 의증 (3개 이상의 SIRS 기준 만족),
NACRS,6,심혈관계,고혈압,활력징후 1차 고려사항,3,경증 호흡곤란,
NACRS,6,심혈관계,고혈압,활력징후 1차 고려사항,3,비정상 맥박수지만 혈역학적으로 안정,
NACRS,6,심혈관계,고혈압,활력징후 1차 고려사항,3,전신염증반응증후군 (열을 포함한 2개의 SIRS 기준 만족),
NACRS,6,심혈관계,고혈압,활력징후 1차 고려사항,3,열 (아파 보임),
NACRS,6,심혈관계,고혈압,증상별 2차 고려사항,1,활력징후,
NACRS,6,심혈관계,고혈압,증상별 2차 고려사항,2,활력징후,
NACRS,6,심혈관계,고혈압,증상별 2차 고려사항,2,"고혈압 (수축기혈압 ≥220 혹은 이완기혈압 ≥ 130) 증상 있음 + 다음 중 한가지 존재 (숨참, 가슴 통증, 혼미, 급성  두통, 구역/구토)",
NACRS,6,심혈관계,고혈압,증상별 2차 고려사항,3,활력징후,
NACRS,6,심혈관계,고혈압,증상별 2차 고려사항,3,"고혈압 (수축기혈압 ≥220 혹은 이완기혈압 ≥ 130), 동반된 다른 증상 없음",
NACRS,6,심혈관계,고혈압,증상별 2차 고려사항,3,"고혈압 (수축기혈압 200-220 그리고 이완기혈압 110-130), 고혈압 증상 동반",
NACRS,6,심혈관계,고혈압,증상별 2차 고려사항,4,"고혈압 (수축기혈압 200-220  그리고 이완기혈압 110-130), 무증상",
NACRS,7,심혈관계,전신 쇠약,활력징후 1차 고려사항,1,중증 호흡곤란,만약 뇌졸중을 의심해야 하면 '신경계 - 뇌졸중 증상' 으로 이동
NACRS,7,심혈관계,전신 쇠약,활력징후 1차 고려사항,1,쇼크,만약 뇌졸중을 의심해야 하면 '신경계 - 뇌졸중 증상' 으로 이동
NACRS,7,심혈관계,전신 쇠약,활력징후 1차 고려사항,1,"무의식 (U, GCS 3-8)",만약 뇌졸중을 의심해야 하면 '신경계 - 뇌졸중 증상' 으로 이동
NACRS,7,심혈관계,전신 쇠약,활력징후 1차 고려사항,2,중등도 호흡곤란,만약 뇌졸중을 의심해야 하면 '신경계 - 뇌졸중 증상' 으로 이동
NACRS,7,심혈관계,전신 쇠약,활력징후 1차 고려사항,2,혈역학적 장애,만약 뇌졸중을 의심해야 하면 '신경계 - 뇌졸중 증상' 으로 이동
NACRS,7,심혈관계,전신 쇠약,활력징후 1차 고려사항,2,"의식변화 (V/P, GCS 9-13)",만약 뇌졸중을 의심해야 하면 '신경계 - 뇌졸중 증상' 으로 이동
NACRS,7,심혈관계,전신 쇠약,활력징후 1차 고려사항,2,"열, 면역저하 상태",만약 뇌졸중을 의심해야 하면 '신경계 - 뇌졸중 증상' 으로 이동
NACRS,7,심혈관계,전신 쇠약,활력징후 1차 고려사항,2,패혈증 의증 (3개 이상의 SIRS 기준 만족),만약 뇌졸중을 의심해야 하면 '신경계 - 뇌졸중 증상' 으로 이동
NACRS,7,심혈관계,전신 쇠약,활력징후 1차 고려사항,3,경증 호흡곤란,만약 뇌졸중을 의심해야 하면 '신경계 - 뇌졸중 증상' 으로 이동
NACRS,7,심혈관계,전신 쇠약,활력징후 1차 고려사항,3,비정상 맥박수지만 혈역학적으로 안정,만약 뇌졸중을 의심해야 하면 '신경계 - 뇌졸중 증상' 으로 이동
NACRS,7,심혈관계,전신 쇠약,활력징후 1차 고려사항,3,전신염증반응증후군 (열을 포함한 2개의 SIRS 기준 만족),만약 뇌졸중을 의심해야 하면 '신경계 - 뇌졸중 증상' 으로 이동
NACRS,7,심혈관계,전신 쇠약,활력징후 1차 고려사항,3,열 (아파 보임),만약 뇌졸중을 의심해야 하면 '신경계 - 뇌졸중 증상' 으로 이동
NACRS,7,심혈관계,전신 쇠약,활력징후 1차 고려사항,4,열 (건강해 보임),만약 뇌졸중을 의심해야 하면 '신경계 - 뇌졸중 증상' 으로 이동
NACRS,7,심혈관계,전신 쇠약,증상별 2차 고려사항,1,"활력징후, 중증 탈수",만약 뇌졸중을 의심해야 하면 '신경계 - 뇌졸중 증상' 으로 이동
NACRS,7,심혈관계,전신 쇠약,증상별 2차 고려사항,2,"활력징후, 중등도 탈수",만약 뇌졸중을 의심해야 하면 '신경계 - 뇌졸중 증상' 으로 이동
NACRS,7,심혈관계,전신 쇠약,증상별 2차 고려사항,3,"활력징후, 갑자기 보행이 어려움 ",만약 뇌졸중을 의심해야 하면 '신경계 - 뇌졸중 증상' 으로 이동
NACRS,7,심혈관계,전신 쇠약,증상별 2차 고려사항,3,경증 탈수,만약 뇌졸중을 의심해야 하면 '신경계 - 뇌졸중 증상' 으로 이동
NACRS,7,심혈관계,전신 쇠약,증상별 2차 고려사항,4,"활력징후, 탈수의 가능성 있음",만약 뇌졸중을 의심해야 하면 '신경계 - 뇌졸중 증상' 으로 이동
NACRS,7,심혈관계,전신 쇠약,증상별 2차 고려사항,4,만성 쇠약,만약 뇌졸중을 의심해야 하면 '신경계 - 뇌졸중 증상' 으로 이동
NACRS,8,심혈관계,실신 / 전실신,활력징후 1차 고려사항,1,중증 호흡곤란,
NACRS,8,심혈관계,실신 / 전실신,활력징후 1차 고려사항,1,쇼크,
NACRS,8,심혈관계,실신 / 전실신,활력징후 1차 고려사항,1,"무의식 (U, GCS 3-8)",
NACRS,8,심혈관계,실신 / 전실신,활력징후 1차 고려사항,2,중등도 호흡곤란,
NACRS,8,심혈관계,실신 / 전실신,활력징후 1차 고려사항,2,혈역학적 장애,
NACRS,8,심혈관계,실신 / 전실신,활력징후 1차 고려사항,2,"의식변화 (V/P, GCS 9-13)",
NACRS,8,심혈관계,실신 / 전실신,활력징후 1차 고려사항,2,"열, 면역저하 상태",
NACRS,8,심혈관계,실신 / 전실신,활력징후 1차 고려사항,2,패혈증 의증 (3개 이상의 SIRS 기준 만족),
NACRS,8,심혈관계,실신 / 전실신,활력징후 1차 고려사항,3,경증 호흡곤란,
NACRS,8,심혈관계,실신 / 전실신,활력징후 1차 고려사항,3,비정상 맥박수지만 혈역학적으로 안정,
NACRS,8,심혈관계,실신 / 전실신,활력징후 1차 고려사항,3,전신염증반응증후군 (열을 포함한 2개의 SIRS 기준 만족),
NACRS,8,심혈관계,실신 / 전실신,활력징후 1차 고려사항,3,열 (아파 보임),
NACRS,8,심혈관계,실신 / 전실신,증상별 2차 고려사항,1,활력징후,
NACRS,8,심혈관계,실신 / 전실신,증상별 2차 고려사항,2,활력징후,
NACRS,8,심혈관계,실신 / 전실신,증상별 2차 고려사항,2,"새로 발병한 부정맥, ",
NACRS,8,심혈관계,실신 / 전실신,증상별 2차 고려사항,2,불규칙 맥박 / 맥박수의 변화,
NACRS,8,심혈관계,실신 / 전실신,증상별 2차 고려사항,2,전구증상 없음,
NACRS,8,심혈관계,실신 / 전실신,증상별 2차 고려사항,2,운동 중 발생함,
NACRS,8,심혈관계,실신 / 전실신,증상별 2차 고려사항,3,활력징후,
NACRS,8,심혈관계,실신 / 전실신,증상별 2차 고려사항,3,전구증상 동반 또는 급격한 자세 변화시 발병,
NACRS,8,심혈관계,실신 / 전실신,증상별 2차 고려사항,3,의식소실의 병력,
NACRS,8,심혈관계,실신 / 전실신,증상별 2차 고려사항,4,"정상 활력, 증상 회복",
NACRS,9,심혈관계,전신 부종,활력징후 1차 고려사항,1,중증 호흡곤란,
NACRS,9,심혈관계,전신 부종,활력징후 1차 고려사항,1,쇼크,
NACRS,9,심혈관계,전신 부종,활력징후 1차 고려사항,1,"무의식 (U, GCS 3-8)",
NACRS,9,심혈관계,전신 부종,활력징후 1차 고려사항,2,중등도 호흡곤란,
NACRS,9,심혈관계,전신 부종,활력징후 1차 고려사항,2,혈역학적 장애,
NACRS,9,심혈관계,전신 부종,활력징후 1차 고려사항,2,"의식변화 (V/P, GCS 9-13)",
NACRS,9,심혈관계,전신 부종,활력징후 1차 고려사항,2,"열, 면역저하 상태",
NACRS,9,심혈관계,전신 부종,활력징후 1차 고려사항,2,패혈증 의증 (3개 이상의 SIRS 기준 만족),
NACRS,9,심혈관계,전신 부종,활력징후 1차 고려사항,3,경증 호흡곤란,
NACRS,9,심혈관계,전신 부종,활력징후 1차 고려사항,3,비정상 맥박수지만 혈역학적으로 안정,
NACRS,9,심혈관계,전신 부종,활력징후 1차 고려사항,3,전신염증반응증후군 (열을 포함한 2개의 SIRS 기준 만족),
NACRS,9,심혈관계,전신 부종,활력징후 1차 고려사항,3,열 (아파 보임),
NACRS,9,심혈관계,전신 부종,증상별 2차 고려사항,1,활력징후,
NACRS,9,심혈관계,전신 부종,증상별 2차 고려사항,2,활력징후,
NACRS,9,심혈관계,전신 부종,증상별 2차 고려사항,3,활력징후,
NACRS,9,심혈관계,전신 부종,증상별 2차 고려사항,4,"전신 부종, 정상 활력징후 ",
NACRS,10,심혈관계,다리 부기 / 부종,활력징후 1차 고려사항,2,중등도 호흡곤란,
NACRS,10,심혈관계,다리 부기 / 부종,활력징후 1차 고려사항,2,혈역학적 장애,
NACRS,10,심혈관계,다리 부기 / 부종,활력징후 1차 고려사항,2,"의식변화 (V/P, GCS 9-13)",
NACRS,10,심혈관계,다리 부기 / 부종,활력징후 1차 고려사항,2,"열, 면역저하 상태",
NACRS,10,심혈관계,다리 부기 / 부종,활력징후 1차 고려사항,2,패혈증 의증 (3개 이상의 SIRS 기준 만족),
NACRS,10,심혈관계,다리 부기 / 부종,활력징후 1차 고려사항,3,경증 호흡곤란,
NACRS,10,심혈관계,다리 부기 / 부종,활력징후 1차 고려사항,3,비정상 맥박수지만 혈역학적으로 안정,
NACRS,10,심혈관계,다리 부기 / 부종,활력징후 1차 고려사항,3,전신염증반응증후군 (열을 포함한 2개의 SIRS 기준 만족),
NACRS,10,심혈관계,다리 부기 / 부종,활력징후 1차 고려사항,3,열 (아파 보임),
NACRS,10,심혈관계,다리 부기 / 부종,활력징후 1차 고려사항,4,열 (건강해 보임),
NACRS,10,심혈관계,다리 부기 / 부종,그 밖의 1차 고려사항,3,급성 말초성 중증 통증 (8-10),
NACRS,10,심혈관계,다리 부기 / 부종,그 밖의 1차 고려사항,4,급성 말초성 증등도 통증 (4-7),
NACRS,10,심혈관계,다리 부기 / 부종,그 밖의 1차 고려사항,4,만성 말초성 중증 통증 (8-10),
NACRS,10,심혈관계,다리 부기 / 부종,그 밖의 1차 고려사항,5,급성 말초성 경증 통증 (<4),
NACRS,10,심혈관계,다리 부기 / 부종,그 밖의 1차 고려사항,5,만성 말초성 통증 (<8),
NACRS,10,심혈관계,다리 부기 / 부종,증상별 2차 고려사항,2,활력징후,
NACRS,10,심혈관계,다리 부기 / 부종,증상별 2차 고려사항,3,"활력징후, 말초성 통증",
NACRS,10,심혈관계,다리 부기 / 부종,증상별 2차 고려사항,3,일측성 다리 부기 / 부종,
NACRS,10,심혈관계,다리 부기 / 부종,증상별 2차 고려사항,4,"활력징후, 말초성 통증, 만성",
NACRS,10,심혈관계,다리 부기 / 부종,증상별 2차 고려사항,5,양측성 다리 부기 / 부종,
NACRS,10,심혈관계,다리 부기 / 부종,증상별 2차 고려사항,5,만성,
NACRS,11,심혈관계,맥박이 없거나 차가운 사지,활력징후 1차 고려사항,1,중증 호흡곤란,
NACRS,11,심혈관계,맥박이 없거나 차가운 사지,활력징후 1차 고려사항,1,쇼크,
NACRS,11,심혈관계,맥박이 없거나 차가운 사지,활력징후 1차 고려사항,1,"무의식 (U, GCS 3-8)",
NACRS,11,심혈관계,맥박이 없거나 차가운 사지,활력징후 1차 고려사항,2,중등도 호흡곤란,
NACRS,11,심혈관계,맥박이 없거나 차가운 사지,활력징후 1차 고려사항,2,혈역학적 장애,
NACRS,11,심혈관계,맥박이 없거나 차가운 사지,활력징후 1차 고려사항,2,"의식변화 (V/P, GCS 9-13)",
NACRS,11,심혈관계,맥박이 없거나 차가운 사지,활력징후 1차 고려사항,2,"열, 면역저하 상태",
NACRS,11,심혈관계,맥박이 없거나 차가운 사지,활력징후 1차 고려사항,2,패혈증 의증 (3개 이상의 SIRS 기준 만족),
NACRS,11,심혈관계,맥박이 없거나 차가운 사지,증상별 2차 고려사항,1,활력징후,
NACRS,11,심혈관계,맥박이 없거나 차가운 사지,증상별 2차 고려사항,2,사지 말단에 맥박이 없음,
NACRS,11,심혈관계,맥박이 없거나 차가운 사지,증상별 2차 고려사항,2,사지가 차가움,
NACRS,12,심혈관계,일측성의 홍조 띤 뜨거운 사지,활력징후 1차 고려사항,2,중등도 호흡곤란,
NACRS,12,심혈관계,일측성의 홍조 띤 뜨거운 사지,활력징후 1차 고려사항,2,혈역학적 장애,
NACRS,12,심혈관계,일측성의 홍조 띤 뜨거운 사지,활력징후 1차 고려사항,2,"의식변화 (V/P, GCS 9-13)",
NACRS,12,심혈관계,일측성의 홍조 띤 뜨거운 사지,활력징후 1차 고려사항,2,"열, 면역저하 상태",
NACRS,12,심혈관계,일측성의 홍조 띤 뜨거운 사지,활력징후 1차 고려사항,2,패혈증 의증 (3개 이상의 SIRS 기준 만족),
NACRS,12,심혈관계,일측성의 홍조 띤 뜨거운 사지,활력징후 1차 고려사항,3,경증 호흡곤란,
NACRS,12,심혈관계,일측성의 홍조 띤 뜨거운 사지,활력징후 1차 고려사항,3,비정상 맥박수지만 혈역학적으로 안정,
NACRS,12,심혈관계,일측성의 홍조 띤 뜨거운 사지,활력징후 1차 고려사항,3,전신염증반응증후군 (열을 포함한 2개의 SIRS 기준 만족),
NACRS,12,심혈관계,일측성의 홍조 띤 뜨거운 사지,활력징후 1차 고려사항,3,열 (아파 보임),
NACRS,12,심혈관계,일측성의 홍조 띤 뜨거운 사지,활력징후 1차 고려사항,4,열 (건강해 보임),
NACRS,12,심혈관계,일측성의 홍조 띤 뜨거운 사지,증상별 2차 고려사항,2,활력징후,
NACRS,12,심혈관계,일측성의 홍조 띤 뜨거운 사지,증상별 2차 고려사항,3,"활력징후, 말초성 통증",
NACRS,12,심혈관계,일측성의 홍조 띤 뜨거운 사지,증상별 2차 고려사항,3,광범위한 염증,
NACRS,12,심혈관계,일측성의 홍조 띤 뜨거운 사지,증상별 2차 고려사항,4,국소성 염증,
NACRS,51,귀,이통 (Earache),활력징후 1차 고려사항,3,경증 호흡곤란,
NACRS,51,귀,이통 (Earache),활력징후 1차 고려사항,3,비정상 맥박수지만 혈역학적으로 안정,
NACRS,51,귀,이통 (Earache),활력징후 1차 고려사항,3,전신염증반응증후군 (열을 포함한 2개의 SIRS 기준 만족),
NACRS,51,귀,이통 (Earache),활력징후 1차 고려사항,3,열 (아파 보임),
NACRS,51,귀,이통 (Earache),활력징후 1차 고려사항,4,열 (건강해 보임),
NACRS,51,귀,이통 (Earache),그 밖의 1차 고려사항,3,급성 말초성 중증 통증 (8-10),
NACRS,51,귀,이통 (Earache),그 밖의 1차 고려사항,4,급성 말초성 중등도 통증 (4-7),
NACRS,51,귀,이통 (Earache),그 밖의 1차 고려사항,4,만성 말초성 중증 통증 (8-10),
NACRS,51,귀,이통 (Earache),그 밖의 1차 고려사항,5,급성 말초성 경증 통증 (<4),
NACRS,51,귀,이통 (Earache),증상별 2차 고려사항,3,"활력징후, 말초성 통증",
NACRS,51,귀,이통 (Earache),증상별 2차 고려사항,4,"활력징후, 말초성 통증, 만성",
NACRS,51,귀,이통 (Earache),증상별 2차 고려사항,5,경증 통증을 동반한 이통,
NACRS,52,귀,귀의 이물질,그 밖의 1차 고려사항,3,급성 말초성 중증 통증 (8-10),
NACRS,52,귀,귀의 이물질,그 밖의 1차 고려사항,4,급성 말초성 중등도 통증 (4-7),
NACRS,52,귀,귀의 이물질,그 밖의 1차 고려사항,5,급성 말초성 경증 통증 (<4),
NACRS,52,귀,귀의 이물질,증상별 2차 고려사항,3,급성 말초성 중증 통증 (8-10),
NACRS,52,귀,귀의 이물질,증상별 2차 고려사항,4,급성 말초성 중등도 통증 (4-7),
NACRS,52,귀,귀의 이물질,증상별 2차 고려사항,5,"귀의 이물질, 경증 통증 (<4)",
NACRS,53,귀,청력소실,증상별 2차 고려사항,3,"청력소실, 급성 발병",
NACRS,53,귀,청력소실,증상별 2차 고려사항,5,"청력소실, 서서히 발병",
NACRS,54,귀,이명,증상별 2차 고려사항,2,아스피린 복용 가능성 있음,
NACRS,54,귀,이명,증상별 2차 고려사항,4,이명,
NACRS,55,귀,귀의 삼출물,활력징후 1차 고려사항,3,경증 호흡곤란,
NACRS,55,귀,귀의 삼출물,활력징후 1차 고려사항,3,비정상 맥박수지만 혈역학적으로 안정,
NACRS,55,귀,귀의 삼출물,활력징후 1차 고려사항,3,전신염증반응증후군 (열을 포함한 2개의 SIRS 기준 만족),
NACRS,55,귀,귀의 삼출물,활력징후 1차 고려사항,3,열 (아파 보임),
NACRS,55,귀,귀의 삼출물,활력징후 1차 고려사항,4,열 (건강해 보임),
NACRS,55,귀,귀의 삼출물,증상별 2차 고려사항,3,활력징후,
NACRS,55,귀,귀의 삼출물,증상별 2차 고려사항,4,활력징후,
NACRS,56,귀,귀의 손상,활력징후 1차 고려사항,2,중등도 호흡곤란,
NACRS,56,귀,귀의 손상,활력징후 1차 고려사항,2,혈역학적 장애,
NACRS,56,귀,귀의 손상,활력징후 1차 고려사항,2,"의식변화 (V/P, GCS 9-13)",
NACRS,56,귀,귀의 손상,활력징후 1차 고려사항,2,"열, 면역저하 상태",
NACRS,56,귀,귀의 손상,활력징후 1차 고려사항,2,패혈증 의증 (3개 이상의 SIRS 기준 만족),
NACRS,56,귀,귀의 손상,활력징후 1차 고려사항,3,경증 호흡곤란,
NACRS,56,귀,귀의 손상,활력징후 1차 고려사항,3,비정상 맥박수지만 혈역학적으로 안정,
NACRS,56,귀,귀의 손상,활력징후 1차 고려사항,3,전신염증반응증후군 (열을 포함한 2개의 SIRS 기준 만족),
NACRS,56,귀,귀의 손상,활력징후 1차 고려사항,3,열 (아파 보임),
NACRS,56,귀,귀의 손상,활력징후 1차 고려사항,4,열 (건강해 보임),
NACRS,56,귀,귀의 손상,그 밖의 1차 고려사항,3,급성 말초성 중증 통증 (8-10),
NACRS,56,귀,귀의 손상,그 밖의 1차 고려사항,3,출혈성 질환 (중등도나 경도의 출혈),
NACRS,56,귀,귀의 손상,그 밖의 1차 고려사항,4,급성 말초성 중등도 통증 (4-7),
NACRS,56,귀,귀의 손상,그 밖의 1차 고려사항,5,급성 말초성 경증 통증 (<4),
NACRS,56,귀,귀의 손상,증상별 2차 고려사항,2,활력징후,
NACRS,56,귀,귀의 손상,증상별 2차 고려사항,2,절단,
NACRS,56,귀,귀의 손상,증상별 2차 고려사항,3,"활력징후, 말초성 통증, 출혈성 질환",
NACRS,56,귀,귀의 손상,증상별 2차 고려사항,3,"창백하거나 청색증을 동반한 동상, 중증",
NACRS,56,귀,귀의 손상,증상별 2차 고려사항,4,"활력징후, 말초성 통증",
NACRS,56,귀,귀의 손상,증상별 2차 고려사항,4,"색 변화를 동반하지 않은 동상, 경증",
